baidu.com,1,5,811400.0,144660.0,10.68
qq.com,2,7,509800.0,53260.0,6.26
taobao.com,3,8,427200.0,54220.0,7.6
sina.com.cn,4,12,440800.0,44930.0,6.11
hao123.com,5,14,399200.0,26920.0,4.04
weibo.com,6,17,348900.0,30850.0,5.3
163.com,7,18,266300.0,28910.0,6.51
360.cn,8,21,298200.0,19380.0,3.9
tmall.com,9,24,274800.0,20410.0,4.45
sohu.com,10,27,258000.0,16690.0,3.88
soso.com,11,31,227000.0,12087.0,3.19
ifeng.com,12,55,115400.0,11038.0,5.73
xinhuanet.com,13,60,97500.0,11332.0,6.96
alipay.com,14,73,106800.0,5200.0,2.92
people.com.cn,15,70,80400.0,10721.0,7.99
gmw.cn,16,82,102336.11,20032.42,11.73
youku.com,17,75,98700.0,4317.0,2.62
google.com.hk,18,56,89000.0,5366.0,3.61
ku6.com,19,83,72200.0,8895.0,7.38
china.com,20,126,55819.52,17409.22,18.69
sogou.com,21,142,48700.0,2483.0,3.05
china.com.cn,22,171,36700.0,2667.0,4.36
google.com,23,1,29900.0,3669.0,7.36
alibaba.com,24,85,30200.0,3384.0,6.7
so.com,25,208,29000.0,2313.0,4.78
pcpop.com,26,205,28800.0,2085.0,4.34
jd.com,27,222,21820.0,4573.0,12.56
39.net,28,216,26800.0,2170.0,4.86
it168.com,29,236,25290.0,1982.0,4.7
xcar.com.cn,30,254,24070.0,1805.0,4.49
baomihua.com,31,255,22970.0,2002.0,5.22
pchome.net,32,264,22450.0,1919.0,5.12
iqiyi.com,33,279,26400.0,1218.0,2.77
huanqiu.com,34,267,23220.0,1680.0,4.34
tianya.cn,35,269,20460.0,2432.0,7.12
bitauto.com,36,278,22130.0,1729.0,4.68
chinaz.com,37,304,20550.0,1702.0,4.96
xywy.com,38,297,21680.0,1431.0,3.96
caijing.com.cn,39,336,19600.0,1345.0,4.11
amazon.cn,40,349,17760.0,1726.0,5.82
ci123.com,41,307,18080.0,1394.0,4.62
yesky.com,42,376,18070.0,1195.0,3.96
cnzz.com,43,391,17580.0,1261.0,4.3
jrj.com.cn,44,381,17330.0,1205.0,4.17
yaolan.com,45,421,13800.0,2396.0,10.4
aili.com,46,397,16850.0,1178.0,4.19
enet.com.cn,47,292,15880.0,1241.0,4.68
mama.cn,48,423,16010.0,1138.0,4.26
suning.com,49,438,15310.0,1191.0,4.66
pcbaby.com.cn,50,474,17110.0,880.0,3.08
cntv.cn,51,440,15730.0,1075.0,4.1
lady8844.com,52,449,15260.0,1081.0,4.24
douban.com,53,379,12080.0,2237.0,11.1
google.cn,54,409,22830.0,459.0,1.2
xgo.com.cn,55,453,15140.0,1068.0,4.23
55bbs.com,56,480,15720.0,888.0,3.39
babytree.com,57,472,15550.0,885.0,3.41
youdao.com,58,523,14170.0,919.0,3.89
2345.com,59,537,16480.0,626.0,2.28
4399.com,60,538,10540.0,2226.0,12.65
hudong.com,61,374,11340.0,1659.0,8.76
ce.cn,62,476,11400.0,1626.0,8.55
yahoo.com,63,4,13580.0,811.0,3.58
v1.cn,64,576,10740.0,1644.0,9.17
bing.com,65,23,14480.0,664.0,2.75
beva.com,66,560,13740.0,727.0,3.17
pcgames.com.cn,67,520,12900.0,828.0,3.84
youboy.com,68,616,9080.0,2311.0,15.3
jqw.com,69,583,13130.0,678.0,3.1
tudou.com,70,531,12820.0,662.0,3.09
chexun.com,71,551,10650.0,948.0,5.33
yoka.com,72,659,9220.0,1434.0,9.32
hupu.com,73,595,10130.0,1022.0,6.05
soku.com,74,575,11580.0,655.0,3.39
wenku.baidu.com/user/reg,75,703,17270.0,288.0,1.0
stockstar.com,76,598,8140.0,1265.0,9.31
rednet.cn,77,557,8090.0,1259.0,9.32
onlylady.com,78,708,10480.0,579.0,3.31
aliexpress.com,79,78,7220.0,1855.0,15.4
etao.com,80,742,9480.0,724.0,4.57
chinabyte.com,81,767,9540.0,682.0,4.28
ccb.com,82,762,9370.0,714.0,4.57
b5m.com,83,655,12746.48,1217.48,5.72
styletv.com.cn,84,802,8860.0,770.0,5.21
ppstream.com,85,748,11050.0,402.0,2.18
lotour.com,86,827,7300.0,1280.0,10.51
ctrip.com,87,738,8810.0,662.0,4.5
17ok.com,88,776,9740.0,500.0,3.08
autohome.com.cn,89,803,6120.0,2306.0,22.6
315che.com,90,851,7920.0,798.0,6.03
58.com,91,780,6950.0,1155.0,9.97
51fanli.com,92,862,8860.0,485.0,3.28
cnmo.com,93,878,8740.0,483.0,3.31
eastday.com,94,915,7200.0,807.0,6.72
microsoft.com,95,39,10630.0,295.0,1.66
